1000,18867.9
2000,18867.9
3000,19230.8
4000,21276.6
5000,20408.2
6000,20000
7000,20408.2
8000,20408.2
9000,20000
10000,20408.2
11000,20408.2
12000,20000
13000,20833.3
14000,20000
15000,20833.3
16000,20000
17000,20408.2
18000,20408.2
19000,20408.2
20000,20408.2
21000,20000
22000,20408.2
23000,20408.2
24000,20408.2
25000,20408.2
26000,20408.2
27000,20000
28000,20000
29000,20408.2
30000,20408.2
31000,20000
32000,20408.2
33000,20408.2
34000,20408.2
35000,20000
36000,20408.2
37000,20000
38000,20408.2
39000,20408.2
40000,20408.2
41000,20408.2
42000,20408.2
43000,20408.2
44000,20408.2
45000,20000
46000,20408.2
47000,20408.2
48000,20408.2
49000,20408.2
50000,20408.2
51000,19607.8
52000,20408.2
53000,20408.2
54000,20000
55000,20408.2
56000,20408.2
57000,20408.2
58000,20408.2
59000,20408.2
60000,20408.2
61000,20000
62000,20000
63000,20408.2
64000,20408.2
65000,20408.2
66000,20000
67000,20408.2
68000,20408.2
69000,20000
70000,20000
71000,20833.3
72000,18867.9
73000,20408.2
74000,20408.2
75000,20000
76000,21276.6
77000,20408.2
78000,20408.2
79000,20000
80000,20408.2
81000,20000
82000,20000
